No,Komentar,Label Awal,Label Pakar,Pasal Dominan,Catatan,Unnamed: 6,clean_comment,Kode Label,Komentar_preprocessed,jumlah_kata,Kategori_Panjang
5798.0,"wkwkwk mling aym atau bgal klo ktauan bonyok pun hmpir mati....udh d bui krg lbh 7 thn aj msh bny kok yg kluar bui g tobt mlh mling lg....sgtu beraty loh resiko mling kls tri it klo ketngkp...tp msh bny yg g kpok dn g jera....gmn dgn koruptor yg sdh trtnggkp ..dn msih melmbaikn tngn dan melontarkan senyuman mnisy ke kmra,dn dgn hukum ringan blm jg bny yg udh trungkp...npi korup mndpt fasilitas klas hotel  bintang 5 .....hmmmm ykin kluar pnjra sdh tobt dn g korup lg..........kty koruptor d miskinkn fktay koruptor msh kya aj...prnh kn ke sidk am njwa d LPS korup mnemukn uang ratusan juta d laci kmr npi korup..hmmmmmmm",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,Kritik terhadap hukuman dan fasilitas narapidana korupsi.,,"wkwkwk mling aym atau bgal klo ktauan bonyok pun hmpir mati....udh d bui krg lbh 7 thn aj msh bny kok yg kluar bui g tobt mlh mling lg....sgtu beraty loh resiko mling kls tri it klo ketngkp...tp msh bny yg g kpok dn g jera....gmn dgn koruptor yg sdh trtnggkp ..dn msih melmbaikn tngn dan melontarkan senyuman mnisy ke kmra,dn dgn hukum ringan blm jg bny yg udh trungkp...npi korup mndpt fasilitas klas hotel bintang 5 .....hmmmm ykin kluar pnjra sdh tobt dn g korup lg..........kty koruptor d miskinkn fktay koruptor msh kya aj...prnh kn ke sidk am njwa d lps korup mnemukn uang ratusan juta d laci kmr npi korup..hmmmmmmm",C1,"wkwkwk mling aym atau bgal klo ktauan bonyok pun hmpir mati....udh d bui krg lbh 7 thn aj msh bny kok yg kluar bui g tobt mlh mling lg....sgtu beraty loh resiko mling kls tri it klo ketngkp...tp msh bny yg g kpok dn g jera....gmn dgn koruptor yg sdh trtnggkp ..dn msih melmbaikn tngn dan melontarkan senyuman mnisy ke kmra,dn dgn hukum ringan blm jg bny yg udh trungkp...npi korup mndpt fasilitas klas hotel bintang 5 .....hmmmm ykin kluar pnjra sdh tobt dn g korup lg..........kty koruptor d miskinkn fktay koruptor msh kya aj...prnh kn ke sidk am njwa d lps korup mnemukn uang ratusan juta d laci kmr npi korup..hmmmmmmm",112,>20 kata
67.0,"Para koruptor yg asli nya malah dibiarkan, kenapa ada apa dgn negara ini?
Org jahat yg dilindungi, org benar difitnah.",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi kritik atau penilaian negatif terhadap korupsi. Sasarannya bersifat umum, berupa lembaga, jabatan, profesi, atau kelompok, bukan orang perseorangan tertentu; juga tidak ada hasutan kebencian berbasis identitas. Karena itu, tidak terindikasi kedua pasal.
",,"para koruptor yg asli nya malah dibiarkan, kenapa ada apa dgn negara ini? org jahat yg dilindungi, org benar difitnah.",C1,"para koruptor yg asli nya malah dibiarkan, kenapa ada apa dgn negara ini? org jahat yg dilindungi, org benar difitnah.",20,11–20 kata
5276.0, @Intannurulrizkiana  awal mula my rohingiya masuk ke indonesia tau gk ? Km sdh d cegah sma pak jokowi tpi ada salah satu partai yg sekrng dukung paslon 01 yg mengizinkan mengungsi ke indonesai skrng mlhan partai ny itu sembunyi tangan gk mau nampung d partai ny. Haha.. Klw pertahanan indonesia lemah gk tau sekrng indonesia kya apa.,Konten ofensif,Kritik atau opini negatif,,Kritik terhadap partai terkait isu Rohingya.,,@intannurulrizkiana awal mula my rohingiya masuk ke indonesia tau gk ? km sdh d cegah sma pak jokowi tpi ada salah satu partai yg sekrng dukung paslon 01 yg mengizinkan mengungsi ke indonesai skrng mlhan partai ny itu sembunyi tangan gk mau nampung d partai ny. haha.. klw pertahanan indonesia lemah gk tau sekrng indonesia kya apa.,C1,@intannurulrizkiana awal mula my rohingiya masuk ke indonesia tau gk ? km sdh d cegah sma pak jokowi tpi ada salah satu partai yg sekrng dukung paslon 01 yg mengizinkan mengungsi ke indonesai skrng mlhan partai ny itu sembunyi tangan gk mau nampung d partai ny. haha.. klw pertahanan indonesia lemah gk tau sekrng indonesia kya apa.,57,>20 kata
5916.0,"Klo mau d fikir scara jerni, btul apa yg Abang katakan.
Tuk apa kira"" mau korupsi ?  Harta Pak Prabowo kan lumayan,  tdk pux istri yg nuntut ini itu, jdi sangatlah tdk mungkin mau korupsi",Ambigu atau konteks tidak cukup,Kritik atau opini negatif,,Opini bahwa tokoh tidak mungkin korupsi.,,"klo mau d fikir scara jerni, btul apa yg abang katakan. tuk apa kira"" mau korupsi ? harta pak prabowo kan lumayan, tdk pux istri yg nuntut ini itu, jdi sangatlah tdk mungkin mau korupsi",C1,"klo mau d fikir scara jerni, btul apa yg abang katakan. tuk apa kira"" mau korupsi ? harta pak prabowo kan lumayan, tdk pux istri yg nuntut ini itu, jdi sangatlah tdk mungkin mau korupsi",35,>20 kata
184.0,"Andaikan Dunia ini kiamat 3X (bayangkan 1X pun msh jauh..) Dan semisalnya setiap selesai kiamat Indonesia diciptakan kembali,maka Indonesia tetap lah spt yg sekarang kita lihat..KORUPSI tetap terdepan, semakin Diberantas semakin Mengganas... Siapapun Pemimpin nya!!!Krn Kata tdk sesuai dgn Perbuatan..Dan itulah takdir kita.. Makanya negri ini akan terus diuji selama negri ini msh ada di Peta Dunia.Maka segeralah Bertobat.. mungkin yg Kuasa msh memberi kita waktu...",Ambigu atau konteks tidak cukup,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi kritik atau opini negatif mengenai korupsi. Tidak ada individu tertentu yang dituduh melakukan perbuatan konkret dan tidak ada hasutan kebencian berbasis identitas, sehingga tidak terindikasi kedua pasal.
",,"andaikan dunia ini kiamat 3x (bayangkan 1x pun msh jauh..) dan semisalnya setiap selesai kiamat indonesia diciptakan kembali,maka indonesia tetap lah spt yg sekarang kita lihat..korupsi tetap terdepan, semakin diberantas semakin mengganas... siapapun pemimpin nya!!!krn kata tdk sesuai dgn perbuatan..dan itulah takdir kita.. makanya negri ini akan terus diuji selama negri ini msh ada di peta dunia.maka segeralah bertobat.. mungkin yg kuasa msh memberi kita waktu...",C1,"andaikan dunia ini kiamat 3x (bayangkan 1x pun msh jauh..) dan semisalnya setiap selesai kiamat indonesia diciptakan kembali,maka indonesia tetap lah spt yg sekarang kita lihat..korupsi tetap terdepan, semakin diberantas semakin mengganas... siapapun pemimpin nya!!!krn kata tdk sesuai dgn perbuatan..dan itulah takdir kita.. makanya negri ini akan terus diuji selama negri ini msh ada di peta dunia.maka segeralah bertobat.. mungkin yg kuasa msh memberi kita waktu...",66,>20 kata
5230.0, @Suwitoo-zw9gi  masalahnya siapa yg akan memproses?DPR KIM plus?,Netral atau tidak terindikasi,Kritik atau opini negatif,,Keraguan terhadap DPR dalam memproses suatu perkara.,,@suwitoo-zw9gi masalahnya siapa yg akan memproses?dpr kim plus?,C1,@suwitoo-zw9gi masalahnya siapa yg akan memproses?dpr kim plus?,8,6–10 kata
6986.0,"Membela sebab merasa dulu pernah mengeluarkan ijazah buat mahasiswany yg bernama Joko widodo. 

Dan luhh bisa yakin UGM tdk mengeluarkan ijazah buat Jokowi dari mana dasarnya? Parahhh bngt luhh.",Kritik atau opini negatif,Kritik atau opini negatif,,Membela UGM dan keaslian ijazah Jokowi.,,membela sebab merasa dulu pernah mengeluarkan ijazah buat mahasiswany yg bernama joko widodo. dan luhh bisa yakin ugm tdk mengeluarkan ijazah buat jokowi dari mana dasarnya? parahhh bngt luhh.,C1,membela sebab merasa dulu pernah mengeluarkan ijazah buat mahasiswany yg bernama joko widodo. dan luhh bisa yakin ugm tdk mengeluarkan ijazah buat jokowi dari mana dasarnya? parahhh bngt luhh.,29,>20 kata
3882.0,Mafia masih di atas,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,"terdapat indikasi penghinaan atau kebencian dalam pilihan kata, tetapi objek dan konteksnya perlu diperjelas sebelum menentukan pasal dominan",,mafia masih di atas,C3,mafia masih di atas,4,1–5 kata
7781.0,"pertanyaan besar adalah  tdk lulus A evel secandary shool, lari ke australia gak jelas apa sekolah setara SMA atau kursus , kemudian lari ke singapura masuk MDIS dan lulus, di pengadilan rakyat  harus di buktikan sertifkat kelulusan setara SMA yg legal bukan palsu, jk tdk bisa membutikan, maka lulusan terakhirnya  di dpt dari money politics, jika dilihat dari kerjanya di lapangan sbg seorang RI 2, rakyat gak percaya sebagai lulusan luarnegeri dg prestasi tinggi, coba setiap ada pertany dari rakyat jawbanya ngawur dan tidak nyambung begitupula ketika pidato pelanga-plongo butuh upgred ram32gb, dan coba apa yg dikasih job desk gak pantaslah di berikan sbg wapres, terlalu cetek, sedangkan  IKN adalah proyek KKN untuk menggemukan team sukses elite politik sebagai rasa terimakasih di akhir rejim projo.",Konten ofensif,Konten ofensif,,Tuduhan disertai penghinaan terhadap individu.,,"pertanyaan besar adalah tdk lulus a evel secandary shool, lari ke australia gak jelas apa sekolah setara sma atau kursus , kemudian lari ke singapura masuk mdis dan lulus, di pengadilan rakyat harus di buktikan sertifkat kelulusan setara sma yg legal bukan palsu, jk tdk bisa membutikan, maka lulusan terakhirnya di dpt dari money politics, jika dilihat dari kerjanya di lapangan sbg seorang ri 2, rakyat gak percaya sebagai lulusan luarnegeri dg prestasi tinggi, coba setiap ada pertany dari rakyat jawbanya ngawur dan tidak nyambung begitupula ketika pidato pelanga-plongo butuh upgred ram32gb, dan coba apa yg dikasih job desk gak pantaslah di berikan sbg wapres, terlalu cetek, sedangkan ikn adalah proyek kkn untuk menggemukan team sukses elite politik sebagai rasa terimakasih di akhir rejim projo.",C2,"pertanyaan besar adalah tdk lulus a evel secandary shool, lari ke australia gak jelas apa sekolah setara sma atau kursus , kemudian lari ke singapura masuk mdis dan lulus, di pengadilan rakyat harus di buktikan sertifkat kelulusan setara sma yg legal bukan palsu, jk tdk bisa membutikan, maka lulusan terakhirnya di dpt dari money politics, jika dilihat dari kerjanya di lapangan sbg seorang ri 2, rakyat gak percaya sebagai lulusan luarnegeri dg prestasi tinggi, coba setiap ada pertany dari rakyat jawbanya ngawur dan tidak nyambung begitupula ketika pidato pelanga-plongo butuh upgred ram32gb, dan coba apa yg dikasih job desk gak pantaslah di berikan sbg wapres, terlalu cetek, sedangkan ikn adalah proyek kkn untuk menggemukan team sukses elite politik sebagai rasa terimakasih di akhir rejim projo.",125,>20 kata
847.0,Saudaraku ini dpr thundepan jangan pilih lagi,Netral atau tidak terindikasi,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2).Komentar berisi kritik atau penilaian negatif terhadap DPR atau anggota dewan. Sasarannya bersifat umum, berupa lembaga, jabatan, profesi, atau kelompok, bukan orang perseorangan tertentu; juga tidak ada hasutan kebencian berbasis identitas. Karena itu, tidak terindikasi kedua pasal.
",,saudaraku ini dpr thundepan jangan pilih lagi,C1,saudaraku ini dpr thundepan jangan pilih lagi,7,6–10 kata
2592.0,"Sebenernya titik terparah adalah, mereka para mafia seenaknya dihadapan rakyat terang terangan bermain aturan. Tai dijakan emas aja bisa asal mereka mau, Level pengadilan tertinggi MK aja diacak2, apa lgi yang dibawah2nya miris bgt",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"sasaran komentar tampak jelas mengarah ke individu tertentu dan terdapat ungkapan yang merendahkan atau menyerang kehormatannya, sehingga masuk ranah Pasal 27A",,"sebenernya titik terparah adalah, mereka para mafia seenaknya dihadapan rakyat terang terangan bermain aturan. tai dijakan emas aja bisa asal mereka mau, level pengadilan tertinggi mk aja diacak2, apa lgi yang dibawah2nya miris bgt",C3,"sebenernya titik terparah adalah, mereka para mafia seenaknya dihadapan rakyat terang terangan bermain aturan. tai dijakan emas aja bisa asal mereka mau, level pengadilan tertinggi mk aja diacak2, apa lgi yang dibawah2nya miris bgt",34,>20 kata
5739.0,Hasil joget-joget nya terbalas oleh masa,Netral atau tidak terindikasi,Kritik atau opini negatif,,Sindiran terhadap aksi joget yang dinilai mendapat balasan publik.,,hasil joget-joget nya terbalas oleh masa,C1,hasil joget-joget nya terbalas oleh masa,6,6–10 kata
4505.0,Saya peribadi sangat senang ada partai.yg sangat2 mewakili rakyat yg paling bawa itulah psi  dan  kami berharap cita2 itu TDK ber uba2,Konten ofensif,Netral atau tidak terindikasi,,"isi komentar cenderung informatif, ekspresif, atau sekadar menyampaikan pandangan tanpa serangan yang relevan secara hukum",,saya peribadi sangat senang ada partai.yg sangat2 mewakili rakyat yg paling bawa itulah psi dan kami berharap cita2 itu tdk ber uba2,C0,saya peribadi sangat senang ada partai.yg sangat2 mewakili rakyat yg paling bawa itulah psi dan kami berharap cita2 itu tdk ber uba2,22,>20 kata
1628.0,Harus diungkap jlh sks tingkat Sarmud dan Sarjana dg benar serta ipk. Th 1980an utk kkn harus lulus teori atau menyisakan 1-2 matkul. Nah th brp beliau kkn? Bisa ditelusuri.!!,Netral atau tidak terindikasi,Kritik atau opini negatif,,,,harus diungkap jlh sks tingkat sarmud dan sarjana dg benar serta ipk. th 1980an utk kkn harus lulus teori atau menyisakan 1-2 matkul. nah th brp beliau kkn? bisa ditelusuri.!!,C1,harus diungkap jlh sks tingkat sarmud dan sarjana dg benar serta ipk. th 1980an utk kkn harus lulus teori atau menyisakan 1-2 matkul. nah th brp beliau kkn? bisa ditelusuri.!!,30,>20 kata
1111.0,​ @m.bayubajra13 gpp tua gak mungkin mengeruk kekayaan indonesia ..hidupnya di serahkan untuk memperjuangkan kesejahteraan rakyat indonesia..mahatir muhamad az 90 th masih jdi pm..daripada presiden muda masih pingin ini itu mending yg tua az,Ambigu atau konteks tidak cukup,Netral atau tidak terindikasi,,,,​ @m.bayubajra13 gpp tua gak mungkin mengeruk kekayaan indonesia ..hidupnya di serahkan untuk memperjuangkan kesejahteraan rakyat indonesia..mahatir muhamad az 90 th masih jdi pm..daripada presiden muda masih pingin ini itu mending yg tua az,C0,​ @m.bayubajra13 gpp tua gak mungkin mengeruk kekayaan indonesia ..hidupnya di serahkan untuk memperjuangkan kesejahteraan rakyat indonesia..mahatir muhamad az 90 th masih jdi pm..daripada presiden muda masih pingin ini itu mending yg tua az,34,>20 kata
259.0,Bilang teman anda yang Singapore  kejam nya sama Rakyat Konoha ....   ijazah kursus masakmu aja bisa jadi wapres,Ambigu atau konteks tidak cukup,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menggunakan bahasa kasar atau merendahkan terhadap isu ijazah atau riwayat pendidikan. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.
",,bilang teman anda yang singapore kejam nya sama rakyat konoha .... ijazah kursus masakmu aja bisa jadi wapres,C2,bilang teman anda yang singapore kejam nya sama rakyat konoha .... ijazah kursus masakmu aja bisa jadi wapres,18,11–20 kata
3009.0,Kayaknya anggota DPR perlu dikurangi aja deh,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"ada kemungkinan komentar ini merupakan sindiran atau serangan, tetapi konteks yang tersedia belum mendukung kesimpulan tersebut",,kayaknya anggota dpr perlu dikurangi aja deh,C4,kayaknya anggota dpr perlu dikurangi aja deh,7,6–10 kata
2247.0,PS Komplit kegagalannya.,Kritik atau opini negatif,Ambigu atau konteks tidak cukup,,"komentar bernada menyalahkan atau kecewa, namun konteksnya masih berupa opini terhadap suatu persoalan dan belum memenuhi indikator penghinaan.",,ps komplit kegagalannya.,C4,ps komplit kegagalannya.,3,1–5 kata
3104.0,"Gw cuma bingung, yg dimaksus analisa atau asumsi kebencian itu seperti apa mksdnya, krn dr yg gw tangkap, ipda verren cuma menyampaikan hasil dr analisa wawancaranya yg ditambah dgn contoh utk menjelaskan analisa yg didapat, dan make sense bagi gw. Selain itu kalau dulu emg gagal masuk TNI lalu skrg dipecat dgn data2 yg disampaikan ipda verren ya wajar dong. Kecuali ortunya punya hasil analisis dr bbrp psikolog di rumah sakit berbeda utk mematahkan tudingan NPD atau psikopat itu td",Kritik atau opini negatif,Kritik atau opini negatif,,"nada komentarnya memang cukup keras, tetapi fokus utamanya masih pada ketidaksetujuan dan kritik terhadap pihak atau kebijakan yang dibahas",,"gw cuma bingung, yg dimaksus analisa atau asumsi kebencian itu seperti apa mksdnya, krn dr yg gw tangkap, ipda verren cuma menyampaikan hasil dr analisa wawancaranya yg ditambah dgn contoh utk menjelaskan analisa yg didapat, dan make sense bagi gw. selain itu kalau dulu emg gagal masuk tni lalu skrg dipecat dgn data2 yg disampaikan ipda verren ya wajar dong. kecuali ortunya punya hasil analisis dr bbrp psikolog di rumah sakit berbeda utk mematahkan tudingan npd atau psikopat itu td",C1,"gw cuma bingung, yg dimaksus analisa atau asumsi kebencian itu seperti apa mksdnya, krn dr yg gw tangkap, ipda verren cuma menyampaikan hasil dr analisa wawancaranya yg ditambah dgn contoh utk menjelaskan analisa yg didapat, dan make sense bagi gw. selain itu kalau dulu emg gagal masuk tni lalu skrg dipecat dgn data2 yg disampaikan ipda verren ya wajar dong. kecuali ortunya punya hasil analisis dr bbrp psikolog di rumah sakit berbeda utk mematahkan tudingan npd atau psikopat itu td",80,>20 kata
143.0,"eitss.. lebih parahnya, bukan lagi soal ga ada ijasah SMA bang, justru enggak pernah sekolah setara  SMA di Singapore penjelasannya 😂",Kritik atau opini negatif,Ambigu atau konteks tidak cukup,,"Belum dapat ditentukan—konteks tidak cukup. Komentar mengandung dugaan, sindiran, atau rujukan mengenai isu ijazah atau riwayat pendidikan, tetapi sasaran individu atau peristiwa yang dimaksud tidak cukup jelas dari teks saja. Konteks video, utas percakapan, dan identitas pihak yang dituju diperlukan sebelum menentukan pasal.

",,"eitss.. lebih parahnya, bukan lagi soal ga ada ijasah sma bang, justru enggak pernah sekolah setara sma di singapore penjelasannya 😂",C4,"eitss.. lebih parahnya, bukan lagi soal ga ada ijasah sma bang, justru enggak pernah sekolah setara sma di singapore penjelasannya 😂",21,>20 kata
1484.0,"Seolah ada dendam politik, walau tdak ada bukti2 yg sah. Sepertinya  dipaksakan atau kriminalisasi  anak bangsa bpk. NADIM MAKARIM. Secepatnya dilepas dari tuduhan dendam bukan hukum yg sebenaranya.",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,,,"seolah ada dendam politik, walau tdak ada bukti2 yg sah. sepertinya dipaksakan atau kriminalisasi anak bangsa bpk. nadim makarim. secepatnya dilepas dari tuduhan dendam bukan hukum yg sebenaranya.",C1,"seolah ada dendam politik, walau tdak ada bukti2 yg sah. sepertinya dipaksakan atau kriminalisasi anak bangsa bpk. nadim makarim. secepatnya dilepas dari tuduhan dendam bukan hukum yg sebenaranya.",28,>20 kata
6589.0,"Gibran JUJUR   Aja  Pada Dirinya Sendiri. Kebohongan Ditutup Rapat2, Di Poles Setebal Mungkin, Tetep Akan TERBONGKAR  JUGA.",Ambigu atau konteks tidak cukup,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,Menuduh Gibran menyembunyikan kebohongan.,,"gibran jujur aja pada dirinya sendiri. kebohongan ditutup rapat2, di poles setebal mungkin, tetep akan terbongkar juga.",C3,"gibran jujur aja pada dirinya sendiri. kebohongan ditutup rapat2, di poles setebal mungkin, tetep akan terbongkar juga.",17,11–20 kata
204.0,"Stop provokasi, jangan membuat natizen bigung, ayo kita ciptakan narasi bersahabat",Netral atau tidak terindikasi,Netral atau tidak terindikasi,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi dukungan, informasi, pertanyaan, atau tanggapan biasa mengenai isi komentar. Tidak terdapat tuduhan perbuatan yang menyerang nama baik individu maupun hasutan kebencian berbasis identitas.
",,"stop provokasi, jangan membuat natizen bigung, ayo kita ciptakan narasi bersahabat",C0,"stop provokasi, jangan membuat natizen bigung, ayo kita ciptakan narasi bersahabat",11,11–20 kata
