No,Komentar,Label Awal,Label Pakar,Pasal Dominan,Catatan,Unnamed: 6,Kode Label,jumlah_kata,jumlah_karakter,clean_comment,Komentar_clean,Komentar_preprocessed
2295.0,Tetap Ganjar plg hebat dan jujur,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,"komentar ini tidak menunjukkan penghinaan, kebencian, atau serangan yang cukup jelas; isinya lebih berupa pernyataan biasa atau pendapat umum",,C0,6.0,32.0,tetap ganjar plg hebat dan jujur,tetap ganjar plg hebat dan jujur,tetap ganjar pulang hebat dan jujur
7636.0,"​ @Febri-wp7in anjir iblis tertawa melihat komentar ini, fitnah sungguh luar biasa yah walaupun kebanyakan pejabat kaya gitu trmsk DPR, tapi gak semuanya juga bro😅 kasihan itu yg ikhlas bekerja tapi kena semprot, yah katakan saja hanya krn beberapa orang terlibat semua orang harus disalahkan ibaratnya kaya gitu aja, mindset idiot kalau orang2 mikirnya kaya gitu semua. Kalau mau hapus DPR hapus aja terserah kalau saya, saya disini tdk mendukung siapapun!",Konten ofensif,Netral atau tidak terindikasi,,Menolak generalisasi terhadap DPR.,,C0,71.0,457.0,"​ @febri-wp7in anjir iblis tertawa melihat komentar ini, fitnah sungguh luar biasa yah walaupun kebanyakan pejabat kaya gitu trmsk dpr, tapi gak semuanya juga bro😅 kasihan itu yg ikhlas bekerja tapi kena semprot, yah katakan saja hanya krn beberapa orang terlibat semua orang harus disalahkan ibaratnya kaya gitu aja, mindset idiot kalau orang2 mikirnya kaya gitu semua. kalau mau hapus dpr hapus aja terserah kalau saya, saya disini tdk mendukung siapapun!","​ -wp7in anjir iblis tertawa melihat komentar ini, fitnah sungguh luar biasa yah walaupun kebanyakan pejabat kaya gitu trmsk dpr, tapi gak semuanya juga bro😅 kasihan itu yg ikhlas bekerja tapi kena semprot, yah katakan saja hanya krn beberapa orang terlibat semua orang harus disalahkan ibaratnya kaya gitu aja, mindset idiot kalau orang2 mikirnya kaya gitu semua. kalau mau hapus dpr hapus aja terserah kalau saya, saya disini tdk mendukung siapapun!","​ -wp7in anjir iblis tertawa melihat komentar ini, fitnah sungguh luar biasa ya walaupun kebanyakan pejabat kayak begitu termasuk dpr, tetapi tidak semuanya juga bro😅 kasihan itu yang ikhlas bekerja tetapi kena semprot, ya katakan saja hanya karena beberapa orang terlibat semua orang harus disalahkan ibaratnya kayak begitu aja, mindset idiot kalau orang-orang mikirnya kayak begitu semua. kalau mau hapus dpr hapus saja terserah kalau saya, saya disini tidak mendukung siapapun!"
,EGP lah yaw... 🤣🤣🤣,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,C4,,,egp lah yaw... 🤣🤣🤣,egp lah yaw. 🤣,egp lah yaw. 🤣
5798.0,"wkwkwk mling aym atau bgal klo ktauan bonyok pun hmpir mati....udh d bui krg lbh 7 thn aj msh bny kok yg kluar bui g tobt mlh mling lg....sgtu beraty loh resiko mling kls tri it klo ketngkp...tp msh bny yg g kpok dn g jera....gmn dgn koruptor yg sdh trtnggkp ..dn msih melmbaikn tngn dan melontarkan senyuman mnisy ke kmra,dn dgn hukum ringan blm jg bny yg udh trungkp...npi korup mndpt fasilitas klas hotel  bintang 5 .....hmmmm ykin kluar pnjra sdh tobt dn g korup lg..........kty koruptor d miskinkn fktay koruptor msh kya aj...prnh kn ke sidk am njwa d LPS korup mnemukn uang ratusan juta d laci kmr npi korup..hmmmmmmm",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,Kritik terhadap hukuman dan fasilitas narapidana korupsi.,,C1,112.0,623.0,"wkwkwk mling aym atau bgal klo ktauan bonyok pun hmpir mati....udh d bui krg lbh 7 thn aj msh bny kok yg kluar bui g tobt mlh mling lg....sgtu beraty loh resiko mling kls tri it klo ketngkp...tp msh bny yg g kpok dn g jera....gmn dgn koruptor yg sdh trtnggkp ..dn msih melmbaikn tngn dan melontarkan senyuman mnisy ke kmra,dn dgn hukum ringan blm jg bny yg udh trungkp...npi korup mndpt fasilitas klas hotel bintang 5 .....hmmmm ykin kluar pnjra sdh tobt dn g korup lg..........kty koruptor d miskinkn fktay koruptor msh kya aj...prnh kn ke sidk am njwa d lps korup mnemukn uang ratusan juta d laci kmr npi korup..hmmmmmmm","wkwkwk mling aym atau bgal klo ktauan bonyok pun hmpir mati.udh d bui krg lbh 7 thn aj msh bny kok yg kluar bui g tobt mlh mling lg.sgtu beraty loh resiko mling kls tri it klo ketngkp.tp msh bny yg g kpok dn g jera.gmn dgn koruptor yg sdh trtnggkp ..dn msih melmbaikn tngn dan melontarkan senyuman mnisy ke kmra,dn dgn hukum ringan blm jg bny yg udh trungkp.npi korup mndpt fasilitas klas hotel bintang 5 .hm ykin kluar pnjra sdh tobt dn g korup lg.kty koruptor d miskinkn fktay koruptor msh kya aj.prnh kn ke sidk am njwa d lps korup mnemukn uang ratusan juta d laci kmr npi korup..hm","wkwkwk mling aym atau bgal kalau ktauan bonyok pun hampir mati.udh ada bui kurang lebih 7 tahun saja masih bny kok yang keluar bui tidak tobt malah mling lg.sgtu beraty loh resiko mling kelas tri itu kalau ketngkp.tp masih bny yang tidak kpok dan tidak jera.gmn dengan koruptor yang sudah trtnggkp ..dn masih melmbaikn tngn dan melontarkan senyuman mnisy ke kmra,dn dengan hukum ringan belum juga bny yang sudah trungkp.npi korup mendapat fasilitas kelas hotel bintang 5 .hm ykin keluar pnjra sudah tobt dan tidak korup lg.kty koruptor ada miskinkn fktay koruptor masih kaya aj.prnh kan ke sidk sama njwa ada lps korup mnemukn uang ratusan juta ada laci kamar npi korup..hm"
67.0,"Para koruptor yg asli nya malah dibiarkan, kenapa ada apa dgn negara ini?
Org jahat yg dilindungi, org benar difitnah.",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi kritik atau penilaian negatif terhadap korupsi. Sasarannya bersifat umum, berupa lembaga, jabatan, profesi, atau kelompok, bukan orang perseorangan tertentu; juga tidak ada hasutan kebencian berbasis identitas. Karena itu, tidak terindikasi kedua pasal.
",,C1,20.0,118.0,"para koruptor yg asli nya malah dibiarkan, kenapa ada apa dgn negara ini? org jahat yg dilindungi, org benar difitnah.","para koruptor yg asli nya malah dibiarkan, kenapa ada apa dgn negara ini? org jahat yg dilindungi, org benar difitnah.","para koruptor yang asli nya malah dibiarkan, kenapa ada apa dengan negara ini? orang jahat yang dilindungi, orang benar difitnah."
5276.0, @Intannurulrizkiana  awal mula my rohingiya masuk ke indonesia tau gk ? Km sdh d cegah sma pak jokowi tpi ada salah satu partai yg sekrng dukung paslon 01 yg mengizinkan mengungsi ke indonesai skrng mlhan partai ny itu sembunyi tangan gk mau nampung d partai ny. Haha.. Klw pertahanan indonesia lemah gk tau sekrng indonesia kya apa.,Konten ofensif,Kritik atau opini negatif,,Kritik terhadap partai terkait isu Rohingya.,,C1,57.0,334.0,@intannurulrizkiana awal mula my rohingiya masuk ke indonesia tau gk ? km sdh d cegah sma pak jokowi tpi ada salah satu partai yg sekrng dukung paslon 01 yg mengizinkan mengungsi ke indonesai skrng mlhan partai ny itu sembunyi tangan gk mau nampung d partai ny. haha.. klw pertahanan indonesia lemah gk tau sekrng indonesia kya apa.,awal mula my rohingiya masuk ke indonesia tau gk ? km sdh d cegah sma pak jokowi tpi ada salah satu partai yg sekrng dukung paslon 01 yg mengizinkan mengungsi ke indonesai skrng mlhan partai ny itu sembunyi tangan gk mau nampung d partai ny. haha.. klw pertahanan indonesia lemah gk tau sekrng indonesia kya apa.,awal mula my rohingiya masuk ke indonesia tahu tidak ? kamu sudah ada cegah sama pak jokowi tapi ada salah satu partai yang sekarang dukung paslon 01 yang mengizinkan mengungsi ke indonesai sekarang mlhan partai nya itu sembunyi tangan tidak mau nampung ada partai ny. haha.. kalau pertahanan indonesia lemah tidak tahu sekarang indonesia kaya apa.
5916.0,"Klo mau d fikir scara jerni, btul apa yg Abang katakan.
Tuk apa kira"" mau korupsi ?  Harta Pak Prabowo kan lumayan,  tdk pux istri yg nuntut ini itu, jdi sangatlah tdk mungkin mau korupsi",Ambigu atau konteks tidak cukup,Kritik atau opini negatif,,Opini bahwa tokoh tidak mungkin korupsi.,,C1,35.0,187.0,"klo mau d fikir scara jerni, btul apa yg abang katakan. tuk apa kira"" mau korupsi ? harta pak prabowo kan lumayan, tdk pux istri yg nuntut ini itu, jdi sangatlah tdk mungkin mau korupsi","klo mau d fikir scara jerni, btul apa yg abang katakan. tuk apa kira"" mau korupsi ? harta pak prabowo kan lumayan, tdk pux istri yg nuntut ini itu, jdi sangatlah tdk mungkin mau korupsi","kalau mau ada fikir scara jerni, betul apa yang abang katakan. untuk apa kira"" mau korupsi ? harta pak prabowo kan lumayan, tidak pux istri yang menuntut ini itu, jadi sangatlah tidak mungkin mau korupsi"
184.0,"Andaikan Dunia ini kiamat 3X (bayangkan 1X pun msh jauh..) Dan semisalnya setiap selesai kiamat Indonesia diciptakan kembali,maka Indonesia tetap lah spt yg sekarang kita lihat..KORUPSI tetap terdepan, semakin Diberantas semakin Mengganas... Siapapun Pemimpin nya!!!Krn Kata tdk sesuai dgn Perbuatan..Dan itulah takdir kita.. Makanya negri ini akan terus diuji selama negri ini msh ada di Peta Dunia.Maka segeralah Bertobat.. mungkin yg Kuasa msh memberi kita waktu...",Ambigu atau konteks tidak cukup,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi kritik atau opini negatif mengenai korupsi. Tidak ada individu tertentu yang dituduh melakukan perbuatan konkret dan tidak ada hasutan kebencian berbasis identitas, sehingga tidak terindikasi kedua pasal.
",,C1,66.0,468.0,"andaikan dunia ini kiamat 3x (bayangkan 1x pun msh jauh..) dan semisalnya setiap selesai kiamat indonesia diciptakan kembali,maka indonesia tetap lah spt yg sekarang kita lihat..korupsi tetap terdepan, semakin diberantas semakin mengganas... siapapun pemimpin nya!!!krn kata tdk sesuai dgn perbuatan..dan itulah takdir kita.. makanya negri ini akan terus diuji selama negri ini msh ada di peta dunia.maka segeralah bertobat.. mungkin yg kuasa msh memberi kita waktu...","andaikan dunia ini kiamat 3x (bayangkan 1x pun msh jauh..) dan semisalnya setiap selesai kiamat indonesia diciptakan kembali,maka indonesia tetap lah spt yg sekarang kita lihat..korupsi tetap terdepan, semakin diberantas semakin mengganas. siapapun pemimpin nya!krn kata tdk sesuai dgn perbuatan..dan itulah takdir kita.. makanya negri ini akan terus diuji selama negri ini msh ada di peta dunia.maka segeralah bertobat.. mungkin yg kuasa msh memberi kita waktu.","andaikan dunia ini kiamat 3x (bayangkan 1x pun masih jauh..) dan semisalnya setiap selesai kiamat indonesia diciptakan kembali,maka indonesia tetap lah seperti yang sekarang kita lihat..korupsi tetap terdepan, semakin diberantas semakin mengganas. siapapun pemimpin nya!krn kata tidak sesuai dengan perbuatan..dan itulah takdir kita.. makanya negeri ini akan terus diuji selama negeri ini masih ada di peta dunia.maka segeralah bertobat.. mungkin yang kuasa masih memberi kita waktu."
5230.0, @Suwitoo-zw9gi  masalahnya siapa yg akan memproses?DPR KIM plus?,Netral atau tidak terindikasi,Kritik atau opini negatif,,Keraguan terhadap DPR dalam memproses suatu perkara.,,C1,8.0,65.0,@suwitoo-zw9gi masalahnya siapa yg akan memproses?dpr kim plus?,-zw9gi masalahnya siapa yg akan memproses?dpr kim plus?,-zw9gi masalahnya siapa yang akan memproses?dpr kim plus?
6986.0,"Membela sebab merasa dulu pernah mengeluarkan ijazah buat mahasiswany yg bernama Joko widodo. 

Dan luhh bisa yakin UGM tdk mengeluarkan ijazah buat Jokowi dari mana dasarnya? Parahhh bngt luhh.",Kritik atau opini negatif,Kritik atau opini negatif,,Membela UGM dan keaslian ijazah Jokowi.,,C1,29.0,194.0,membela sebab merasa dulu pernah mengeluarkan ijazah buat mahasiswany yg bernama joko widodo. dan luhh bisa yakin ugm tdk mengeluarkan ijazah buat jokowi dari mana dasarnya? parahhh bngt luhh.,membela sebab merasa dulu pernah mengeluarkan ijazah buat mahasiswany yg bernama joko widodo. dan luhh bisa yakin ugm tdk mengeluarkan ijazah buat jokowi dari mana dasarnya? parah bngt luhh.,membela sebab merasa dulu pernah mengeluarkan ijazah buat mahasiswany yang bernama joko widodo. dan luhh bisa yakin ugm tidak mengeluarkan ijazah buat jokowi dari mana dasarnya? parah sangat luhh.
3882.0,Mafia masih di atas,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,"terdapat indikasi penghinaan atau kebencian dalam pilihan kata, tetapi objek dan konteksnya perlu diperjelas sebelum menentukan pasal dominan",,C3,4.0,19.0,mafia masih di atas,mafia masih di atas,mafia masih di atas
7781.0,"pertanyaan besar adalah  tdk lulus A evel secandary shool, lari ke australia gak jelas apa sekolah setara SMA atau kursus , kemudian lari ke singapura masuk MDIS dan lulus, di pengadilan rakyat  harus di buktikan sertifkat kelulusan setara SMA yg legal bukan palsu, jk tdk bisa membutikan, maka lulusan terakhirnya  di dpt dari money politics, jika dilihat dari kerjanya di lapangan sbg seorang RI 2, rakyat gak percaya sebagai lulusan luarnegeri dg prestasi tinggi, coba setiap ada pertany dari rakyat jawbanya ngawur dan tidak nyambung begitupula ketika pidato pelanga-plongo butuh upgred ram32gb, dan coba apa yg dikasih job desk gak pantaslah di berikan sbg wapres, terlalu cetek, sedangkan  IKN adalah proyek KKN untuk menggemukan team sukses elite politik sebagai rasa terimakasih di akhir rejim projo.",Konten ofensif,Konten ofensif,,Tuduhan disertai penghinaan terhadap individu.,,C2,125.0,808.0,"pertanyaan besar adalah tdk lulus a evel secandary shool, lari ke australia gak jelas apa sekolah setara sma atau kursus , kemudian lari ke singapura masuk mdis dan lulus, di pengadilan rakyat harus di buktikan sertifkat kelulusan setara sma yg legal bukan palsu, jk tdk bisa membutikan, maka lulusan terakhirnya di dpt dari money politics, jika dilihat dari kerjanya di lapangan sbg seorang ri 2, rakyat gak percaya sebagai lulusan luarnegeri dg prestasi tinggi, coba setiap ada pertany dari rakyat jawbanya ngawur dan tidak nyambung begitupula ketika pidato pelanga-plongo butuh upgred ram32gb, dan coba apa yg dikasih job desk gak pantaslah di berikan sbg wapres, terlalu cetek, sedangkan ikn adalah proyek kkn untuk menggemukan team sukses elite politik sebagai rasa terimakasih di akhir rejim projo.","pertanyaan besar adalah tdk lulus a evel secandary shool, lari ke australia gak jelas apa sekolah setara sma atau kursus , kemudian lari ke singapura masuk mdis dan lulus, di pengadilan rakyat harus di buktikan sertifkat kelulusan setara sma yg legal bukan palsu, jk tdk bisa membutikan, maka lulusan terakhirnya di dpt dari money politics, jika dilihat dari kerjanya di lapangan sbg seorang ri 2, rakyat gak percaya sebagai lulusan luarnegeri dg prestasi tinggi, coba setiap ada pertany dari rakyat jawbanya ngawur dan tidak nyambung begitupula ketika pidato pelanga-plongo butuh upgred ram32gb, dan coba apa yg dikasih job desk gak pantaslah di berikan sbg wapres, terlalu cetek, sedangkan ikn adalah proyek kkn untuk menggemukan team sukses elite politik sebagai rasa terimakasih di akhir rejim projo.","pertanyaan besar adalah tidak lulus a evel secandary shool, lari ke australia tidak jelas apa sekolah setara sama atau kursus , kemudian lari ke singapura masuk mdis dan lulus, di pengadilan rakyat harus di buktikan sertifkat kelulusan setara sama yang legal bukan palsu, jika tidak bisa membutikan, maka lulusan terakhirnya di dapat dari money politics, jika dilihat dari kerjanya di lapangan sebagai seorang ri 2, rakyat tidak percaya sebagai lulusan luarnegeri dengan prestasi tinggi, coba setiap ada pertany dari rakyat jawbanya ngawur dan tidak menyambung begitupula ketika pidato pelanga-plongo butuh upgred ram32gb, dan coba apa yang dikasih job desk tidak pantaslah di berikan sebagai wapres, terlalu cetek, sedangkan ikn adalah proyek kkn untuk menggemukan team sukses elite politik sebagai rasa terimakasih di akhir rejim projo."
847.0,Saudaraku ini dpr thundepan jangan pilih lagi,Netral atau tidak terindikasi,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2).Komentar berisi kritik atau penilaian negatif terhadap DPR atau anggota dewan. Sasarannya bersifat umum, berupa lembaga, jabatan, profesi, atau kelompok, bukan orang perseorangan tertentu; juga tidak ada hasutan kebencian berbasis identitas. Karena itu, tidak terindikasi kedua pasal.
",,C1,7.0,45.0,saudaraku ini dpr thundepan jangan pilih lagi,saudaraku ini dpr thundepan jangan pilih lagi,saudaraku ini dpr thundepan jangan pilih lagi
2592.0,"Sebenernya titik terparah adalah, mereka para mafia seenaknya dihadapan rakyat terang terangan bermain aturan. Tai dijakan emas aja bisa asal mereka mau, Level pengadilan tertinggi MK aja diacak2, apa lgi yang dibawah2nya miris bgt",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"sasaran komentar tampak jelas mengarah ke individu tertentu dan terdapat ungkapan yang merendahkan atau menyerang kehormatannya, sehingga masuk ranah Pasal 27A",,C3,34.0,231.0,"sebenernya titik terparah adalah, mereka para mafia seenaknya dihadapan rakyat terang terangan bermain aturan. tai dijakan emas aja bisa asal mereka mau, level pengadilan tertinggi mk aja diacak2, apa lgi yang dibawah2nya miris bgt","sebenernya titik terparah adalah, mereka para mafia seenaknya dihadapan rakyat terang terangan bermain aturan. tai dijakan emas aja bisa asal mereka mau, level pengadilan tertinggi mk aja diacak2, apa lgi yang dibawah2nya miris bgt","sebenarnya titik terparah adalah, mereka para mafia seenaknya dihadapan rakyat terang terangan bermain aturan. tahi dijakan emas saja bisa asal mereka mau, level pengadilan tertinggi maka saja diacak2, apa lagi yang dibawah2nya miris sangat"
5739.0,Hasil joget-joget nya terbalas oleh masa,Netral atau tidak terindikasi,Kritik atau opini negatif,,Sindiran terhadap aksi joget yang dinilai mendapat balasan publik.,,C1,6.0,40.0,hasil joget-joget nya terbalas oleh masa,hasil joget-joget nya terbalas oleh masa,hasil joget-joget nya terbalas oleh masa
4505.0,Saya peribadi sangat senang ada partai.yg sangat2 mewakili rakyat yg paling bawa itulah psi  dan  kami berharap cita2 itu TDK ber uba2,Konten ofensif,Netral atau tidak terindikasi,,"isi komentar cenderung informatif, ekspresif, atau sekadar menyampaikan pandangan tanpa serangan yang relevan secara hukum",,C0,22.0,134.0,saya peribadi sangat senang ada partai.yg sangat2 mewakili rakyat yg paling bawa itulah psi dan kami berharap cita2 itu tdk ber uba2,saya peribadi sangat senang ada partai.yg sangat2 mewakili rakyat yg paling bawa itulah psi dan kami berharap cita2 itu tdk ber uba2,saya peribadi sangat senang ada partai.yg sangat-sangat mewakili rakyat yang paling bawa itulah psi dan kami berharap cita-cita itu tidak ber uba2
1628.0,Harus diungkap jlh sks tingkat Sarmud dan Sarjana dg benar serta ipk. Th 1980an utk kkn harus lulus teori atau menyisakan 1-2 matkul. Nah th brp beliau kkn? Bisa ditelusuri.!!,Netral atau tidak terindikasi,Kritik atau opini negatif,,,,C1,30.0,175.0,harus diungkap jlh sks tingkat sarmud dan sarjana dg benar serta ipk. th 1980an utk kkn harus lulus teori atau menyisakan 1-2 matkul. nah th brp beliau kkn? bisa ditelusuri.!!,harus diungkap jlh sks tingkat sarmud dan sarjana dg benar serta ipk. th 1980an utk kkn harus lulus teori atau menyisakan 1-2 matkul. nah th brp beliau kkn? bisa ditelusuri.!!,harus diungkap jlh sks tingkat sarmud dan sarjana dengan benar serta ipk. tahun 1980an untuk kkn harus lulus teori atau menyisakan 1-2 matkul. nah tahun berapa beliau kkn? bisa ditelusuri.!!
1111.0,​ @m.bayubajra13 gpp tua gak mungkin mengeruk kekayaan indonesia ..hidupnya di serahkan untuk memperjuangkan kesejahteraan rakyat indonesia..mahatir muhamad az 90 th masih jdi pm..daripada presiden muda masih pingin ini itu mending yg tua az,Ambigu atau konteks tidak cukup,Netral atau tidak terindikasi,,,,C0,34.0,241.0,​ @m.bayubajra13 gpp tua gak mungkin mengeruk kekayaan indonesia ..hidupnya di serahkan untuk memperjuangkan kesejahteraan rakyat indonesia..mahatir muhamad az 90 th masih jdi pm..daripada presiden muda masih pingin ini itu mending yg tua az,​ .bayubajra13 gpp tua gak mungkin mengeruk kekayaan indonesia ..hidupnya di serahkan untuk memperjuangkan kesejahteraan rakyat indonesia..mahatir muhamad az 90 th masih jdi pm..daripada presiden muda masih pingin ini itu mending yg tua az,​ .bayubajra13 tidak apa-apa tua tidak mungkin mengeruk kekayaan indonesia ..hidupnya di serahkan untuk memperjuangkan kesejahteraan rakyat indonesia..mahatir muhamad az 90 tahun masih jadi pm..daripada presiden muda masih ingin ini itu mending yang tua az
