Komentar_preprocessed,Kode Label,label
tetap saja yang nangkep polisi juga sel nya beda sama koruptor wkwk,C2,2
"cacat konstitusi,pemilu,awal yang buruk",C1,1
benar kata pa andika ibaratnya misal simbah kamu pki & itu sudah digerus sejak tahun 1965 terus kamu sebagai cucu yang hidup di era milenial tidak tahu apa-apa tiba-tiba tidak boleh bela negara. terus anak-anak & cucu2 kamu juga tidak boleh bela negara. ingat pki itu dulu partai kayak pdip golkar demokrat dan lain banyak pengikutnya.. yang tidak tahu & hanya ikut-ikutan juga banyak yang termakan janji politik kayak sekarang. lagi itu yang terlibat g30spki pasti orang-orang atasnya. orang-orang miskin dikampung yang nyawah macul nelayan kerja serabutan jaman dulu mana tahu kalau pki aslinya kayak begini 🙏,C1,1
tidak menyambung pak.. anda pribumi. itu menteri aguan..,C0,0
p,C4,4
berkat tuhan akan turun pada orang yang jujur dan berintegritas bukan yang nabrak aturan,C0,0
​ -zs9zr & kurang waras 🤪,C2,2
menyedihkan tanggapan semua disini lah anggota bpip peraturan nya diangkat president . nah ada yang keluar alias pindah tugas nah kursi yang kosong me mohon ke president untuk mencari penggantinya kok kemana2 ya . aneh,C1,1
"batam juga kayaknya belum ada. anak² santri tpq tempat ku mengajar ada beberapa sekolah, semua belum ada . malah tanya sama aku.kapan mbg.😂",C0,0
kita mohon petunjuk kpda allah swt . agar ada berikan petunjuk yang benar. niat kita baik . insyaallah ada perubahan . ganti presiden. kalau tambah buruk ganti lagi . pilpres berikutnya.,C0,0
usut mafia minyak.sahroni sangat berpeluang!,C1,1
rungkad negara ini sudah dua proyek magnet korupsi (prabowo dongo),C2,2
tidak biasa kompas wkwkwkw,C4,4
gerombolan anus kan tahu jokowi presiden ri yang jujur dan bukan petugas partai. dia berdiri tegak untuk kepentingan seluruh rakyat indonesia. 🤣,C2,2
"iya rajin sholat dan ibadah, tukang becak di daerah saya juga rajin-rajin om. pasalnya itu, dia sedekah nya 10 masjid.. tetapi keburukannya 40 masjid.",C1,1
"ibarat usaha busuk ,jadi tempat cucia uang 😂",C4,4
makan nya saya tidak mau memilih jokowi karena saya tahu di balakang dia siapa pki pembenci pancasial.lebih bodoh nya lagi yang sudah tahu tetapi masih tetap milih.😆 lebih sayang sama jokowi ketimbang negara nya sendiri.,C3,3
"ini orang dari partai silit ireng sejatinya anti pancasila dan islamophobia, orang ini mengatakan partainya menolak segala hukum yang bersumber dari agama. jadi orang ini mirip atheis, banyak pengamat menyebutkan bahwa psi adalah partai pki muda. dan taukah anda bahwa partai ini juga mendukung lgbt dengan alasan ham bagi umat islam, psi, kader & anggota²nya haram untuk di pilih atau di jadikan pemimpin.",C3,3
"awas ada antek asing masuk memecah belah bangsa,bilang kita seperti kerbau apa yang di katakan orang langsung bilang ok.awas provokator.",C3,3
pdi tanpa jokowi bagaikan partai angin lalu,C2,2
"saya tidak suka pol bukan karena pol suka nilang. tapi saya dan mungkin yang lain juga prna jadi korban pungli pol, arogan, atau kita di tuduh tanpa sebab dan bukti👎pol itu penyakit",C2,2
"salut pod cast bang akbar ini cerdaskan bangsa. dukung ahok 1 jamin 400 t apbd optimal bagi warga jakarta. makin terpuruk tak ada perbaikan / penguatan korupsinya tak pernah selesai ikn 501 t alamat mangkrak -kejahatan bernilai dibawah rp. 1 juta dianggap hal kecil , lumrah, sepele tak berdampak merugikan. dilakukan tiap hari, tiap jam tinggal dikalkulasi besaran jumlahnya maling ayam bisa putus nyawa dikeroyok warga sekampung maling negara korupsi trilyun bahkan ratusan trilyun bisa dianggap pahlawan karena bangunkan embung/ waduk penampung air orang di desa orba cendana 32 tahun sentralisasi korupsi us$35 billion / 600 t terjarah. cikeas 10 tahun desentralisasi us$ 10 billion / 150 t terkuras. jokowi solo ngono ya jo ngono budaya pembiaran 10 tahun , 2014 - 2024 ; menkominfo 80 t , dki kelebihan bayar 400 t ludes proyek bongkar pasang, bansos depsos 400 t, pemilu 72,6 t , alutsista 1600 t , terus berlanjut hingga hari, detik ini ; miris, ironis. kemandirian desa mutlak/ keniscayaan. 83.931 desa 16.377 pulau pengentasan kemiskinan tugas negara dalam uud' 45 ayo bergerak bersatu padu ri 79 tahun merdeka. ikn 501 t mangkrak lihat saja 17/8/ 2024",C3,3
"tuhan lindungilah para pengungkap kebenaran jauhkan mereka dari kecelakaan, sakit, ancaman intimidasi kriminalisasi bahkan pembunuhan. tetapi hukumlah mereka yang merancang kejahatan dan kerakusan",C3,3
"jago nya ber-dusta, jawara nya ber-dusta.mungkin di-pusdiklat ada mata pelajaran ber-dusta kali?",C3,3
mana video jokwi joged?pembohong!!,C3,3
anies jadi president mah yang di revisi uu imigran.utk membawa yamani kak indonesia.biar pribumi asli jadi budak keturunan arab di negeri nya sendiri .,C3,3
"ya allah lindungila negara ini dari orang""yg ingin menghancurkan negara ini dan berikan kekuatan pada ulama""kami supaya tegar menghadapi org""kafir yang ingin memecah belah umat islam aamiin,aamiin,yraا ا",C3,3
"bapak president dan wapres mohon atensinya untuk kasus chrome book ini agar keadilan benar-benar ditegakkan di indonesia, jangan sampai ada yang dikriminalisasi🙏🏻🙏🏻",C3,3
semoga pak nadiem tetap kuat kuasa tuhan yang maha kuasa akan berproses kepada orang-orang yang mengkriminalisasikan pa nadiem,C0,0
gila ugm kalau mereka tidak punya arsip ijazah lulusannya. semua instansi pendidikan menyimpan fotokopi ijazah lulusannya.,C3,3
betul itu geng bandit,C2,2
paham komunisme dan terorisme sama-sama bahaya dan kejam,C0,0
dih di edit hahaha,C4,4
para mafia hukum pasti bermain-main dengan hukum karena mereka kebal hukum,C1,1
hore,C4,4
"bravo daeng samad. in syaa allah jika pak abraham kembali menjadi ketua kpk pertama tama cari harun masiku daeng, mungkin harun masiku sudah lelah bersembunyi (kan)",C0,0
saya bangga. dengan ibu anitta beliau tidak tanggung tanggung tanggung meninggikan nama tuhannya. kiranya tuhan yesus kristus menyertai dan memberkati ibu anita jakob.amin,C0,0
ini manusia lebih gila lagi dari yang lebih gila,C3,3
"setuju gw, tetapi menurut saya selama anies ikut isu itu bakal selalu dia bawa, jadi tergantung calon gubernur siapa saja",C4,4
dpr maling uang rakyat,C2,2
"jasmerah - masuk tahun 97, indonesia diguncang oleh krisis ekonomi & moneter yang parah. - tahun 98 suharto akhirnya jatuh dari kekuasaan dan digantikan baju habibie. - tahun 19, baju habibie memerintahkan pengusutan skandal keuangan blbi yang angka nya rekor paling besar saat itu : rp 150 an triliun. - sejumlah oligarki raja2 uang dibekukan bank & asset2nya, sambil dilakukan pengusutan kejahatan keuangan mrk. - pemerintah tegas menghentikan kucuran dana2 talangan ke bank2 bermasalah tsb. - habibie mengancam akan menyeret oligarki2 koruptor ke pengadilan, dihadapkan dengan hukuman maksimal: vonis mati. - gusdur dengan menggandeng cukong oligarki kakap; edward suryadjaja, berencana memborong saham2 sejumlah bank sitaan negara di bppn (bps, bank ficorinvest) yang nilainya sedang di titik terendah, murah meriah. - langkah gusdur tersebut terganjal pres habibie yang tidak memberikan izin, karena partner kongsi gusdur mrpkn orang blacklist dot (daftar orang tercela) di bi. - tahun 19 habibie jatuh dan digantikan oleh gusdur. - tahun 20 gusdur membuka kembali keran dana untuk rekapitalisasi bank2 blbi, yang menyebabkan negara bocor lagi sebesar 80 triliun. - gusdur juga ngotot ingin memecat secara tiba-tiba gubernur bank indonesia syahril sabirin, dengan sejumlah alasan yang gakjelas. syahril sabirin sendiri seorang pejabat kunci keuangan yang kompeten dan jadi tangan kanan pres habibie dibalik kesuksesannya mengendalikan nilai dollar dalam waktu singkat (dari rp 16.800 jadi rp 6.500). - belakangan ramai terungkap oleh kalangan lsm dan aktifis2 pergerakan 98 (yg kecewa karena reformasi telah dibajak dan belok dari cita-cita awal), kalau syahril sabirin sebelumnya menutup bank papan sejahtera (bps) yang terlibat skandal blbi, sementara bps sendiri ternyata salahsatu pemilik & pemegang sahamnya itu presiden gusdur sendiri, berkongsi dengan taipan h*ry t*noe. nah tuh lagi.",C2,2
​ pembohong dibilang terbaik,C3,3
benar benar gila,C4,4
"kalau anda tidak suka wapres mendampingi pak prabowo lantas jadi mau anda siapa.😂,anis kadrun ?😁 atau ahy.?kagak kepilih gimana,😂komentar itu harus objektive",C3,3
"maklum, diaspora cina itu punya filosofhi hidup yang menghalal kan segala cara. yang lebih berbahaya lagi kodrun itu punya kesetiaan hanya ke negeri leluhur, di negara manapun dia brada dan menghidupi nya.",C3,3
"nah itu yang sebenarnya wajib kita renungkan baii2 secara pribadi masih nya sebelum bicara banyak tentang mereka ( turunan pki ) di samping juga yang terlibat langsung aktifitas pki dulu ada semacam kategori/kelas nya ( kelas berat, sedang & ringan.) #kuduatiatimenyikapihiduporanglain. #dilarangkerassokngertitanpakenalmereka.",C1,1
kamu mau protes sono ke makam pahlawan yang berjuang merdeka an indonesia .mpr tuh pemerintah indonesia tertinggi ditetapkan zaman presiden soekarno disidang bpupki.mpr > presiden/wakil > dpa> dpr> bapak > m.a > dpd,C3,3
"jaman sekrg sudah musimnya orang tidak sehat.gara"" geng wowo dan geng cebong.saling serang berebut kekuasaan.",C3,3
"mbak grace, saya lebih setuju bila pengurus harus belum pernah jadi pengurus partai lain. jangan berubah. kalau sudah terjadi, minimalisasi. soal umur, boleh 1-2 yang diatas 45 orang, tetapi sebagai penasehat, bukan pembina.",C1,1
sudah tahu berita terbaru? anak itu terbukti berbohong dan pernah dikeluarkan dari sekolah tni al karena tabiayt buruk,C4,4
"tidak mungkin, sama saja suruh muslim jadi gubernur bali, dan muslim di ntt serta papua. politik kedaerahan amsih kental keagamaan, tidak perlu buta fakta buat itu",C4,4
"presiden pengusaha yang berkelindan dengan tim ekonomi yang juga pengusaha yang dipikirkan cuma keuntungan untuk bisnis dirinya, keluarga dan kroninya. isi video ini harus diviralkan, biar rakyat tahu dan sadar dampak buruk bagi kedaulatan ekonomi dan politik indonesia yang ""dijual dan digadaikan"" ke as melalui paket art dan bop.",C3,3
"saya juga pesimis kdmp itu tidak akan jauh sama mbg sudah ajang bisnis, peluang korupsi dan akan hancur juga nantinya",C1,1
tidak suka bertele tele dan narasi retorika. ini saya suka sekali,C0,0
"tolong pers sebut siapa saja berperan pada kasus kriminalisasi ini : pelapor, penyelidik, penyidik, pengaudit, jaksa, hakim. jika pengadilan negara merkea kuasai, bantu kami rakyatnya memberikan sanksi sosial dengan mendapat informasi detail dan valid",C3,3
"gila ini gila, negara sakiit dan kita berada di dalam nya guys",C2,2
semua orang waras bilang dampak kerusakan manusia satu itu luar biasa terhadap bangsa dan negara. siapa itu.? manusiawi satu itu.!,C4,4
"kayak nya ema yang paling pintar dan paling hebat😂 yang merusak refublik kita siapa ia ema, mau tertawa takut dosa😂",C2,2
astaghfirullah 😭 tidak tahu lagi mau bicara apa selain istighfar dan “jijik” sama instansi 😭 parah banget. tidak ridho pajakku buat bayar orang-orang mirip begitu,C2,2
hati hati media sosial itu nomer satu .hal positif nya bisa menaikan elektabilitas seseorang & golongan atau sebaliknya. yang aktif di medsos rata rata kaum milenial.. yang harus di perhitungkan suaranya . ketua partai tidak pantas merendahkan presiden kalau ada masalah discus secara pribadi,C1,1
"refli harun itu mengerti hukum tetapi munafik,,putar balik,pedang mata dua",C3,3
prediksi gibran kdm _ 24 april 2029 hadew 😂. sama saja tetap akan sistem solo semuanya,C4,4
justru para pejabatlah yang selalu membuat gaduh di negeri ini dengan menghalalkan segala cara,C4,4
dpr juga sama . jangan 😮 terjebak dengan permainan acting.biar kelihatan kerja . gonjang ganjing sembako dan kebutuhan hidup lain yang tinggi kok tidak panggil zh.padahal rakyat menjerit lho,C2,2
boleh.undang juga muri untuk catat rekor yang mu mungkin bisa terpecah.,C4,4
biasanya yang pintar bicara adalah penipu😂 tidak percaya? coba tanya pak ahok (btp) terbongkar semua aib anies wkwkwk😅,C2,2
bang fahri sekarang bisa lebih bergelora.. bang fahri cocok jadi menteri kelautan..,C0,0
cerdas kok mundur .malah hncur psi diketuai kaesang .di pelosok kmpung ..sdh tidak simpatik pada kaesang yang anak jokowi..,C0,0
di indonesia ini cuma perlu di legal kan kepemilikan senjata untuk umum. biar bisa dibereskan sendiri mafia2 oligarki seperti ini,C0,0
kalau pasha ungu itu kata abang ipar saya dia orangnya pemikir dan memahami abang ipar saya bilang sudah begitu cara bicaranya penuh dengan wawasan 😊 waktu itu abang ipar saya bertemu dengan beliau di medan berapa puluh tahun yang lalu 😊,C2,2
"saya sangat setuju hukuman mati dan perampasan aset untuk koruptor, dalam dari rakyat kecil.",C2,2
beginilah kalau memilih manusia yang oper ambisi coba kalian pikirkan 3 kali gagal nyapres masih saja ngotot ingin jadi presiden ya dikala menang ya kayak begini jadinya rasai saja sama pemujanya,C1,1
intel yang mulia,C4,4
para dewan berjoget ceria sedangkan rakyat menjerit😂,C2,2
partai yang paling beruntung. memanfaatkan nama jkw.,C2,2
"cukong cukong di belakang mulyono banyak yang dapat keuntungan sangat besar dengan mul berkuasa di negara ini, mul ini bermuka dua pengkhianat bangsa, cari muka ke rakyat berkomplot dengan aseng mengeruk sda negeri ini sebanyak banyaknya untuk kemakmurannya. rakyat di cekik pajak. hasil bumi dinikmati mereka sendiri",C3,3
"tombol mamakmu saja yang ditekan, kak",C2,2
bentengnya pki,C4,4
para orang 2 pki pasti' akan mencela dari zulkifli iki..,C2,2
uu perampasan aset para koruptor harus segera di berlakukan.,C0,0
"tetangga ku juga bisa masuk tni sekarang jadi jendral,bpk ibunya tercatat sebagai anggota pki,tp bisa masuk karena diikutkan kakak pak deh nya, buktinya juga taat dan tidak berhianat.justru banyak yang bukan keturunan pki justru mirip pki, tuh mirip yang nabrak sejoli dan dibuang ke sungai itu",C4,4
"pejuang kebenaran kok membela yang salah ,pak polisi mengucapkan trmkasih atas pahala mengalir dari fitnah para buzzer",C4,4
"bukan. bukan dari sini awalnya. dalam video ini, pak jokowi sudah menjalankan rencana a sebab pak jokowi sebenarnya sudah tahu ada celah di dalam undang-undang indonesia sudah sejak awal-awal menjabat sebagai presiden ri. beliau juga melibatkan mas gibran dalam rencana a untuk ikut bergabung dengan partai kepala banteng tersebut (e lebih tepatnya sih sekarang kepala kerbau). namun setelah pidato megawati yang seperti itu, naluri mas gibran sebagai seorang anak jelas tidak bisa menerima saat orang tuanya diremehkan seperti itu. dia pasti menangis melihat bapaknya masih tetap tersenyum.jadilah mas gibran memilih untuk berontak dan keluar dari zona merah tersebut. dalam hati pak jokowi, ""baiklah, rencana b terpaksa akan saya jalankan"". selang beberapa waktu dan setelah dirasa semuanya siap. beliau pun juga memutuskan untuk keluar dan sebagai gantinya, diutuslah ""partner terbaiknya"" untuk mewakilinya di zona merah itu sebab beliau butuh sosok dengan keberanian plus nyali tinggi untuk meledakkan sarang kerbau. meskipun beberapa waktu lalu banyak orang menilai bahwa pak jokowi hendak membangun sebuah dinasti, beliau tetap tenang. sebab memang bukan itu tujuannya, bukan membangun sebuah dinasti atau memperkaya keluarga sendiri. kalian pasti menyadari, berapa kali indonesia berganti2 program nasional yang gagal setelah pemimpinnya ganti meskipun berasal dari partai yang sama. hal inilah yang mendorong pak jokowi untuk terpaksa membawa orang-orang terpercaya untuk tetap fokus pada program yang sudah ada dan berjalan agar tidak sia-sia, agar indonesia tidak jalan di tempat. beliau sadar, bahwa membangun indonesia tak cukup hanya dengan 2 periode saja. jiwa pemimpin dan rasa ingin membangun yang tinggi dalam hati beliau memang patut untuk di apresiasi. dari awal, pak jokowi tak hanya memiliki sifat membangun, mengembangkan dan memajukan yang baik, namun beliau juga pandai dalam membaca karakter seseorang. salah satunya adalah prabowo. meski pernah menjadi rival dalam pilpres, namun beliau melihat ada keistimewaan dalam diri pak prabowo. karakter bawaan dari pak prabowo memang ambisius dan selalu ingin menjadi yang nomor satu dimanapun pak bowo berada. namun bukan itu yang dilihat oleh pak jokowi, beliau melihat sebuah ketulusan mengabdi yang sangat tinggi ada pada sosok pak bowo. senada dengan apa yang pernah disampaikan oleh alm. kh. abdurrahman wahid bahwa pak bowo memiliki keikhlasan untuk rakyatnya. maka jadilah pak jokowi juga melibatkan pak bowo dalam rencana besar beliau. pilpres 2024 menjadi bukti betapa matang rencana yang dijalankan oleh pak jokowi. senyuman beliau saat tersaikiti oleh pidato megawati menggambarkan bahwa untuk menghancurkan partai kepala kerbau itu sangatlah mudah bagi beliau, masih ada yang lebih sulit lagi dan butuh waktu yang sangat lama untuk dijalankan, apalagi kalau bukan memajukan bangsa indonesia.",C2,2
"sebagai mahasiswa itu lebih baik agar ruu tentang pemiskinan dan penyitaan harta koruptor itu segera di sahkan oleh dprri ,yg di ajukan oleh jokowi sejak tahun 2017 yang sampai sekarang nutar2 di dprri",C3,3
-f2x kalau tidak dungu bukan termul namanya. narasi2 termul tidak punya dasar kuat dan seperti tidak punya akal sehat. jokorup yang sudah valid terdeteksi munafik tulen dan merusak negara malah dibela.,C3,3
dia sosok penjilat bermuka relawan .di bukan relawan sejati pastinya dia tidak akan rela kalau tak ada cuan .,C3,3
"ahok ,,siapa yang dukung di parlemen ? lagi apa yakin non muslim , bisa mimpin indonesia?",C4,4
"sadar diri,minoritas l😮😮.",C4,4
prabowo gibran 👍😘🤲satu putaran indonesia pasti makmur salam ✌✌,C0,0
presidennya cuma petugas partai.. arap maklum,C0,0
"mengira cuma disini saja shinobi bangun koperasi, ternyata memang se-konoha, tetapi yang mengerjakan ada tukangnya, mungkin mereka yang pegang duitnya",C1,1
ayo termul..saat nya kerja target agar dapat point.😂,C4,4
"mereka tidak pernah hidup susah kayake, dan biasanya mereka menjust orang miskin itu karena males. padahal tidak semua yang miskin males, bisa jadi tidak adanya kesempatan dan keberuntungan",C1,1
"gila pernyataan ini orang,.",C2,2
kaya abraham samad orang jujur saja. abraham era surabaya kasus hambalang sampai mangkrak. dan sekarang menyerang kubu pk anaknya pk jokowi yang sukses pimpin solo.,C1,1
"video nya baru lihat , eh lihat komentator nya , pada gagal paham 😅 ingin tertawa , tetapi mubazir ah .. 😝",C1,1
aneh kenapa termul2 ini masih tetap bersikukuh ijasah jokowi asli.wong sudah ketahuan rakyat indonesia kalau berani jokowi menunjukkan ijasah nya kepada rakyat indonesia dan di uji labfor undang pakar2 di indonesia dan luar negeri agar bisa mana yang palsu dan asli jangan sampai rakyat indonesia di adi domba oleh karena jokowi dan termul2 dan aneh kenapa jokowi tidak tahu terima kasih kepada ibu prof megawati ketum pdi p dan mantan wapres jika yang sudah membesarkan nama nya sampai kepada presiden.kacang lupa kulit dasar jokowi tidak tahu malu,C3,3
psi 11 12 dengan saifudin ibrahim penista agama ngais donasi.🤣,C3,3
​ -x3b pembela mengincar jabatan komisaris rumah sakit jiwa,C2,2
bisa di pastikan bapak andika tidak akan lengser dini dari jabatannya. karena dia sudah terang2an membuka pintu untuk keturunan pki.,C3,3
dia bukan pancasilais dia berideologi komunis,C3,3
yang bahaya bukan pki tetapi terorisme dan radikalisme yang akan menghancurkan negara!,C3,3
mantap..kpk yang terkenal atirasuah..bebas korupsi .beraih.ternyata dengan kejahatanya kepada pegawi non partai politik .jadi terbongkar bahwa kpk..tertdiri dari pendukung penguasa dan beking parpol..dan nepotisme.hqncurkan kpk kalau sudah tidak jujur demi kemajuan rakyat..,C1,1
"iya, komennya pada aneh aneh memojokkan polisi, padahal kita harus menilai secara utuh namanya saja rapat dengar pendapat, pihak polisi sedang menerangkan alasan kenapa dipecat sebagai siwa spn, walaupun kinerja kepolisian saat ini sedang jadi sorotan, bukan berarti semua harus dicap buruk ya",C2,2
"sekarang peraturan banyak yang di rubah, permasalahan selalu muncul, waspada dan bersatulah jangan mudah di pecah belah",C4,4
"sangat kecewa dengan pidato megawati,yang melecehkan pak jokowi di muka umum keterlaluan,kasihan sekali pak jokowi tidak di hargai presiden dua priode,sabar pak jokowi lebih baik pindah partai pak jokowi,rakyat bersamu pak jokowi,megawati dengan kesombongan nya sangat tidak beradab dengan pidato nya semua.",C2,2
jangan tanya saya.🤣,C4,4
